"x"
"83","Pontificia Universidad Catolica del Ecuador (PUCE)"
"84","Pontificia Universidade Catolica do Rio Grande do Sul (PUCRS)"
"85","Universidad Andres Bello"
"86","Universidad Austral de Chile"
"87","Universidad Autonoma de Nuevo Leon"
"88","Universidad Central del Ecuador"
"89","Universidad Industrial de Santander - UIS"
"90","Universidad Metropolitana"
"91","Universidad Nacional Agraria la Molina"
"92","Universidad Nacional de Cuyo"
"93","Universidad Nacional de Mar del Plata"
"94","Universidad Nacional de Rio Cuarto - UNRC"
"95","Universidad Nacional de San Martin (UNSAM)"
"96","Universidad Nacional de la Asuncion"
"97","Universidad Nacional Costa Rica"
"98","Universidad Peruana de Ciencias Aplicadas"
"99","Universidad Tecnologica de la Habana Jose Antonio Echeverria, Cujae"
"100","Universidad de Cordoba - Colombia"
"101","Universidad de La Frontera (UFRO)"
"102","Universidad de Lima"
"103","Universidad de Monterrey (UDEM)"
"104","Universidad de Puerto Rico"
"105","Universidad de Talca"
"106","Universidad de Valparaiso (UV)"
"107","Universidad del Desarrollo (UDD)"
"108","Universidad del Norte"
"109","Universidad del Pacifico"
"110","Universidade Federal Fluminense"
"111","Universidade Federal da Bahia"
"112","Universidade Federal de Juiz de Fora- (UFJF)"
"113","Universidade Federal de Pelotas"
"114","Universidade Federal de Vicosa (UFV)"
"115","Universidade Federal do Ceara (UFC)"
"116","Universidade do Estado do Rio de Janeiro (UERJ)"
"117","ITESO, Universidad Jesuita de Guadalajara"
"118","Pontificia Universidade Catolica do Parana"
"119","Universidad Autonoma de Yucatan"
"120","Universidad Autonoma de Baja California"
"121","Universidad Autonoma de Chile"
"122","Universidad Autonoma de Queretaro (UAQ)"
"123","Universidad Autonoma de San Luis de Potosi"
"124","Universidad Autonoma del Estado de Morelos (UAEM)"
"125","Universidad Bernardo O'Higgins"
"126","Universidad Catolica Boliviana \"San Pablo\""
"127","Universidad Catolica de Colombia"
"128","Universidad Catolica de Santiago de Guayaquil"
"129","Universidad Catolica del Norte"
"130","Universidad Mayor de San Andres (UMSA)"
"131","Universidad Nacional Autonoma de Honduras (UNAH)"
"132","Universidad Nacional de Quilmes"
"133","Universidad Nacional de Tucuma!n"
"134","Universidad Nacional del Litoral"
"135","Universidad Nacional del Sur"
"136","Universidad San Ignacio de Loyola"
"137","Universidad Tecnologica de Bolivar"
"138","Universidad Tecnologica de Pereira"
"139","Universidad de Guanajuato"
"140","Universidad de La Salle"
"141","Universidad de La Serena"
"142","Universidad de Medellin"
"143","Universidad de Panama - UP"
"144","Universidad de Sonora"
"145","Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politecnica del Ejercito)"
"146","Universidad del Bio-Bio"
"147","Universidad del Salvador"
"148","Universidade Estadual de Londrina"
"149","Universidade Federal da Paraiba"
"150","Universidade Federal de Goias"
"151","Universidade Federal de Santa Maria"
