"","University","qs_students","qs_z","qs_ranking","qs_rank","the_students","the_z","the_ranking","the_rank","z_distance","ranking_distance","diff","pdiff","outlier"
"520","University of Derby",15539,-0.36049323428111,507,"1001-1200",14941,-0.206029829346649,1081,"601¡V800",-0.154463404934461,-574,598,0.03924,"not outlier"
"521","University of Dhaka",33360,0.474655008034005,1033,"801-1000",207118,8.31321441405334,2108,"801¡V1000",-7.83855940601934,-1075,-173758,-1.44511,"outlier & student qs < the"
"522","University of Dundee",12936,-0.482478020474154,411,"=322",13016,-0.291365458316531,958.5,"201¡V250",-0.191112562157623,-547.5,-80,-0.00617,"not outlier"
"523","University of East London",12554,-0.500379744763721,392,"801-1000",10769,-0.390975410677739,810,"801¡V1000",-0.109404334085983,-418,1785,0.15307,"not outlier"
"524","University of Eastern Finland",11913,-0.530419025574225,366,"521-530",11688,-0.350235959756533,874,"501¡V600",-0.180183065817692,-508,225,0.01907,"not outlier"
"525","University of Electronic Science and Technology of China",33428,0.477841702410159,1035,"591-600",35342,0.698350516946628,1845,"501¡V600",-0.220508814536469,-810,-1914,-0.05566,"not outlier"
"526","University of Engineering & Technology (UET) Lahore",13377,-0.461811370181748,432,"801-1000",13377,-0.275362257247374,984,"1201+",-0.186449112934374,-552,0,0,"not outlier"
"527","University of Florence",35726,0.585533227063104,1080,"=451",36629,0.755403480315064,1879,"401¡V500",-0.16987025325196,-799,-903,-0.02496,"not outlier"
"528","University of Florida",46120,1.07262883508865,1178,"=173",47007,1.21546226340568,1988,"154",-0.142833428317026,-810,-887,-0.01905,"not outlier"
"529","University of Geneva",17135,-0.285699642746688,587,"=105",17744,-0.0817722875271279,1244,"=197",-0.203927355219561,-657,-609,-0.03492,"not outlier"
"530","University of Genoa",22323,-0.0425736071072284,763,"601-650",23225,0.161201521503481,1493,"401¡V500",-0.203775128610709,-730,-902,-0.03961,"not outlier"
"531","University of Ghana",37517,0.669465133352671,1102,"1001-1200",43877,1.07670874721049,1959,"1001¡V1200",-0.407243613857823,-857,-6360,-0.15628,"not outlier"
"532","University of Glasgow",28249,0.235137435144013,926,"73",27625,0.356254387720354,1641,"=86",-0.121116952576341,-715,624,0.02234,"not outlier"
"533","University of Gothenburg",20689,-0.119147998440088,719,"=180",21033,0.0640297299699845,1397,"=185",-0.183177728410073,-678,-344,-0.01649,"not outlier"
"534","University of Gottingen",30285,0.33055081381825,977,"204",30610,0.488580025369755,1745,"=119",-0.158029211551505,-768,-325,-0.01067,"not outlier"
"535","University of Granada",49856,1.24770957316672,1200,"=492",50604,1.37491798153797,2018,"601¡V800",-0.12720840837125,-818,-748,-0.01489,"not outlier"
"536","University of Greenwich",16566,-0.312364776570677,562,"751-800",14196,-0.239055826012915,1034,"601¡V800",-0.0733089505577617,-472,2370,0.15409,"not outlier"
"537","University of Groningen",31070,0.367338388601784,993,"=128",29440,0.436713695034814,1702,"=80",-0.0693753064330297,-709,1630,0.05388,"not outlier"
"538","University of Guelph",21405,-0.0855939811852978,740.5,"581-590",22571,0.132209572752155,1462,"501¡V600",-0.217803553937453,-721.5,-1166,-0.05303,"not outlier"
"539","University of Haifa",15675,-0.354119845528803,515,"701-750",16228,-0.148976865978214,1155,"601¡V800",-0.205142979550589,-640,-553,-0.03467,"not outlier"
"540","University of Helsinki",22628,-0.028280345567129,770,"104",22628,0.134736393973601,1465,"=101",-0.16301673954073,-695,0,0,"not outlier"
"541","University of Hertfordshire",20519,-0.127114734380472,713,"801-1000",17771,-0.0805753722117061,1246,"601¡V800",-0.0465393621687655,-533,2748,0.14354,"not outlier"
"542","University of Hohenheim",8776,-0.677428735250591,215.5,"601-650",8614,-0.486506984927139,625,"=197",-0.190921750323452,-409.5,162,0.01863,"not outlier"
"543","University of Houston",37293,0.658967787172401,1098,"701-750",47002,1.21524061242134,1987,"601¡V800",-0.55627282524894,-889,-9709,-0.23036,"outlier & student qs < the"
"544","University of Hradec Kralove",5144,-0.847635705459249,73,"801-1000",6344,-0.587136531816298,435,"1201+",-0.260499173642951,-362,-1200,-0.20891,"not outlier"
"545","University of Huddersfield",14818,-0.394281567298853,482,"701-750",14349,-0.232273305892192,1044,"601¡V800",-0.162008261406661,-562,469,0.03216,"not outlier"
"546","University of Hull",12724,-0.492413008823338,403,"651-700",13438,-0.272658115238458,986,"601¡V800",-0.21975489358488,-583,-714,-0.05458,"not outlier"
"547","University of Illinois at Urbana-Champaign",45906,1.06260012043429,1175,"=82",47202,1.22410665179484,1992,"48",-0.161506531360547,-817,-1296,-0.02784,"not outlier"
"548","University of International Business and Economics",15708,-0.352573361493317,517,"1001-1200",15985,-0.159749103817009,1138,"501¡V600",-0.192824257676308,-621,-277,-0.01748,"not outlier"
"549","University of Iowa",27922,0.219813184246923,919,"=455",29591,0.443407554761802,1707,"251¡V300",-0.223594370514879,-788,-1669,-0.05804,"not outlier"
"550","University of Johannesburg",18941,-0.201064789168264,661,"=434",28273,0.384980355290475,1667,"601¡V800",-0.586045144458739,-1006,-9332,-0.39531,"outlier & student qs < the"
"551","University of Jyvaskyla",10457,-0.598651775745978,300,"=358",10277,-0.412785867536534,768,"351¡V400",-0.185865908209444,-468,180,0.01736,"not outlier"
"552","University of Kansas",24377,0.0536833083136373,830.5,"387",24581,0.221313268455772,1538,"401¡V500",-0.167629960142135,-707.5,-204,-0.00833,"not outlier"
"553","University of Karachi",43129,0.932461145690498,1150,"1001-1200",43770,1.07196541614567,1958,"1201+",-0.139504270455176,-808,-641,-0.01475,"not outlier"
"554","University of Kent",16530,-0.314051850063935,561,"=383",17282,-0.1022528384799,1210,"351¡V400",-0.211799011584035,-649,-752,-0.04448,"not outlier"
"555","University of Kentucky",27154,0.183822283057427,903,"651-700",26483,0.305629302897702,1601,"501¡V600",-0.121807019840275,-698,671,0.02502,"not outlier"
"556","University of Klagenfurt",3477,-0.925756580827595,36,"501-510",3173,-0.727707586083049,206.5,"351¡V400",-0.198048994744547,-170.5,304,0.09143,"not outlier"
"557","University of Kragujevac",15717,-0.352151593120003,518,"1201+",15717,-0.171629596577492,1123,"401¡V500",-0.180521996542511,-605,0,0,"not outlier"
"558","University of Kufa",24992,0.0825041471567884,848,"1001-1200",28179,0.380813316784933,1663,"Reporter",-0.298309169628145,-815,-3187,-0.11988,"not outlier"
"559","University of Latvia",12055,-0.523764457906376,370,"1001-1200",12054,-0.334011107703038,895,"601¡V800",-0.189753350203337,-525,1,8e-05,"not outlier"
"560","University of Lausanne",13366,-0.462326864860244,431,"176",13016,-0.291365458316531,958.5,"=176",-0.170961406543713,-527.5,350,0.02653,"not outlier"
"561","University of Leeds",34979,0.550526452078008,1064,"92",33318,0.608626198486867,1803,"=127",-0.0580997464088587,-739,1661,0.04864,"not outlier"
"562","University of Leicester",14696,-0.399998871914893,478,"=236",15029,-0.202128772022312,1088,"=185",-0.197870099892581,-610,-333,-0.02241,"not outlier"
"563","University of Limerick",13464,-0.457734275906376,435,"501-510",14951,-0.205586527377975,1082,"601¡V800",-0.252147748528401,-647,-1487,-0.10466,"not outlier"
"564","University of Lincoln",15452,-0.364570328556482,504,"801-1000",13925,-0.251069309364,1022,"501¡V600",-0.113501019192483,-518,1527,0.10396,"not outlier"
"565","University of Lisbon",48404,1.17966427560533,1189,"=356",49198,1.31258972474231,2009,"501¡V600",-0.132925449136976,-820,-794,-0.01627,"not outlier"
"566","University of Liverpool",26779,0.166248600835993,894,"=189",25910,0.280228100092641,1581.5,"=178",-0.113979499256648,-687.5,869,0.03299,"not outlier"
"567","University of Ljubljana",37874,0.686195278827476,1107,"591-600",37874,0.810594575415065,1897,"801¡V1000",-0.12439929658759,-790,0,0,"not outlier"
"568","University of Macau",10340,-0.604134764599065,293,"=322",9874,-0.430650936874125,739,"201¡V250",-0.17348382772494,-446,466,0.04611,"not outlier"
"569","University of Malta",8814,-0.675647935452153,219,"801-1000",10137,-0.41899209509798,757,"801¡V1000",-0.256655840354172,-538,-1323,-0.13962,"not outlier"
"570","University of Manitoba",31309,0.378538682070911,995,"601-650",28888,0.41224342636397,1686,"301¡V350",-0.0337047442930586,-691,2421,0.08044,"not outlier"
"571","University of Maribor",12241,-0.515047911524545,375,"801-1000",11732,-0.348285431094364,878,"1001¡V1200",-0.166762480430181,-503,509,0.04246,"not outlier"
"572","University of Maryland, Baltimore County",11662,-0.542181676874438,357,"751-800",11663,-0.35134421467822,873,"601¡V800",-0.190837462196219,-516,-1,-9e-05,"not outlier"
"573","University of Maryland, College Park",37449,0.666278438976518,1100,"158",34017,0.639613006097229,1820,"=93",0.0266654328792885,-720,3432,0.09605,"not outlier"
"574","University of Miami",16166,-0.331110037606873,540,"=311",16479,-0.137849986564479,1164,"201¡V250",-0.193260051042394,-624,-313,-0.01918,"not outlier"
"575","University of Michigan-Ann Arbor",45651,1.05065001652371,1173,"=23",44663,1.11155228194833,1969,"=24",-0.060902265424613,-796,988,0.02188,"not outlier"
"576","University of Milan",49944,1.25183353059469,1201,"316",44959,1.1246740202211,1972,"301¡V350",0.127159510373587,-771,4985,0.10505,"not outlier"
"577","University of Minho",19167,-0.190473716682814,668,"571-580",19246,-0.0151883318321863,1330,"801¡V1000",-0.175285384850627,-662,-79,-0.00411,"not outlier"
"578","University of Miskolc",8024,-0.712669825998639,172,"1001-1200",9069,-0.46633674535244,669,"1201+",-0.2463330806462,-497,-1045,-0.12227,"not outlier"
"579","University of Modena and Reggio Emilia",21393,-0.0861563390163837,739,"701-750",19907,0.0141139282972121,1356,"401¡V500",-0.100270267313596,-617,1486,0.07196,"not outlier"
"580","University of Mumbai",7019,-0.759767294352081,135,"1001-1200",13196,-0.283386022880386,973,"1001¡V1200",-0.476381271471695,-838,-6177,-0.61113,"outlier & student qs < the"
"581","University of Murcia",27373,0.194085313474744,910,"801-1000",27067,0.331518137868305,1627,"1001¡V1200",-0.137432824393561,-717,306,0.01124,"not outlier"
"582","University of Navarra",11651,-0.542697171552933,355,"=266",11545,-0.356575177908581,865,"251¡V300",-0.186121993644352,-510,106,0.00914,"not outlier"
"583","University of North Carolina at Charlotte",25308,0.0973129033753831,857,"1001-1200",27133,0.334443930861558,1630,"801¡V1000",-0.237131027486175,-773,-1825,-0.0696,"not outlier"
"584","University of Notre Dame",12453,-0.505112923175361,388,"222",12234,-0.326031672266894,909,"=183",-0.179081250908467,-521,219,0.01774,"not outlier"
"585","University of Nottingham",33110,0.462939219886383,1029,"103",31360,0.521827673020358,1768,"141",-0.0588884531339753,-739,1750,0.05429,"not outlier"
"586","University of Oregon",21241,-0.0932795382101381,732,"651-700",22034,0.108404257034323,1441,"351¡V400",-0.201683795244461,-709,-793,-0.03665,"not outlier"
"587","University of Oslo",17623,-0.26283042428253,608,"102",21413,0.0808752047796235,1413,"=119",-0.343705629062153,-805,-3790,-0.19418,"not outlier"
"588","University of Ostrava",6935,-0.763703799169682,132,"1001-1200",8570,-0.488457513589308,621,"1201+",-0.275246285580375,-489,-1635,-0.2109,"not outlier"
"589","University of Otago",18723,-0.211280956432991,654,"=194",18690,-0.0398359212905002,1306,"201¡V250",-0.171445035142491,-652,33,0.00176,"not outlier"
"590","University of Ottawa",36670,0.629772043108526,1089,"230",35791,0.718254775340123,1859,"=162",-0.0884827322315966,-770,879,0.02426,"not outlier"
"591","University of Oulu",9759,-0.63136225625414,262,"377",9756,-0.435881900104487,727,"251¡V300",-0.195480356149653,-465,3,0.00031,"not outlier"
"592","University of Oxford",20889,-0.10977536792199,722,"2",20835,0.0552523509902253,1390,"1",-0.165027718912216,-668,54,0.00259,"not outlier"
"593","University of Palermo",28571,0.250227370278151,938,"801-1000",31324,0.520231785933129,1767,"601¡V800",-0.270004415654979,-829,-2753,-0.09193,"not outlier"
"594","University of Pardubice",5115,-0.848994736884374,70,"1001-1200",7329,-0.543471287901839,523,"1201+",-0.305523448982534,-453,-2214,-0.35583,"outlier & student qs < the"
"595","University of Parma",28169,0.231388382936774,924,"801-1000",27015,0.329212967631197,1622.5,"601¡V800",-0.0978245846944227,-698.5,1154,0.04182,"not outlier"
"596","University of Patras",25974,0.128523763000649,873,"801-1000",25870,0.278454892217942,1580,"801¡V1000",-0.149931129217293,-707,104,0.00401,"not outlier"
"597","University of Pecs",16878,-0.297743472962444,576,"651-700",17223,-0.10486832009508,1207,"801¡V1000",-0.192875152867364,-631,-345,-0.02023,"not outlier"
"598","University of Pennsylvania",21313,-0.0899053912236229,734,"13",21211,0.0719205050123944,1407,"=13",-0.161825896236017,-673,102,0.0048,"not outlier"
"599","University of Peradeniya",17469,-0.270047349781465,602,"1001-1200",16647,-0.130402513490744,1176,"401¡V500",-0.139644836290721,-574,822,0.04819,"not outlier"
"600","University of Pisa",32656,0.441663348610301,1016,"=388",33780,0.629106749439638,1815,"401¡V500",-0.187443400829338,-799,-1124,-0.03384,"not outlier"
"601","University of Plymouth",16181,-0.330407090318016,541,"601-650",16505,-0.136697401445925,1167,"401¡V500",-0.193709688872091,-626,-324,-0.01983,"not outlier"
"602","University of Porto",28867,0.264098863444936,947,"=295",33120,0.599848819507108,1801,"401¡V500",-0.335749956062172,-854,-4253,-0.13722,"not outlier"
"603","University of Portsmouth",22386,-0.0396212284940275,764,"651-700",21688,0.0930660089181781,1427,"501¡V600",-0.132687237412206,-663,698,0.03167,"not outlier"
"604","University of Pretoria",43861,0.966764973386737,1157,"601-650",36337,0.742459062829762,1870,"601¡V800",0.224305910556975,-713,7524,0.18764,"outlier & student qs > the"
"605","University of Reading",16196,-0.329704143029158,543,"202",15433,-0.184219372487854,1108,"201¡V250",-0.145484770541305,-565,763,0.04825,"not outlier"
"606","University of Rhode Island",15114,-0.380410074132068,486,"1001-1200",16615,-0.131821079790503,1174,"601¡V800",-0.248588994341565,-688,-1501,-0.09461,"not outlier"
"607","University of Rijeka",14009,-0.432193857744559,459,"1001-1200",14423,-0.228992871323999,1050.5,"1201+",-0.20320098642056,-591.5,-414,-0.02912,"not outlier"
"608","University of Rochester",10177,-0.611773458471315,284,"154",10177,-0.417218887223282,761.5,"142",-0.194554571248034,-477.5,0,0,"not outlier"
"609","University of Salamanca",26965,0.174965147217824,900,"651-700",28269,0.384803034503005,1666,"801¡V1000",-0.209837887285181,-766,-1304,-0.04722,"not outlier"
"610","University of Salerno",25638,0.112777743730245,867,"801-1000",25911,0.280272430289508,1583,"401¡V500",-0.167494686559264,-716,-273,-0.01059,"not outlier"
"611","University of Salford",18569,-0.218497881931926,645,"801-1000",17448,-0.0948940257998993,1226,"801¡V1000",-0.123603856132027,-581,1121,0.06225,"not outlier"
"612","University of Saskatchewan",16622,-0.30974044002561,563,"458",17896,-0.0750340976032723,1256,"501¡V600",-0.234706342422337,-693,-1274,-0.07382,"not outlier"
"613","University of Science and Technology Beijing",24368,0.0532615399403229,828,"=414",27845,0.366007031031198,1655,"801¡V1000",-0.312745491090875,-827,-3477,-0.13319,"not outlier"
"614","University of Science and Technology of China",17922,-0.248818341657973,618,"98",16718,-0.127255069513153,1181,"=88",-0.12156327214482,-563,1204,0.06952,"not outlier"
"615","University of Seoul",8718,-0.680146798100839,210,"801-1000",9183,-0.461283102909548,684,"1001¡V1200",-0.218863695191292,-474,-465,-0.05195,"not outlier"
"616","University of Sharjah",12411,-0.507081175584161,385,"601-650",12370,-0.320002765492917,913,"401¡V500",-0.187078410091244,-528,41,0.00331,"not outlier"
"617","University of Siena",12115,-0.520952668750946,372,"601-650",12772,-0.302182026352194,940,"601¡V800",-0.218770642398752,-568,-657,-0.0528,"not outlier"
"618","University of South Australia",19593,-0.170510013679265,682,"=326",22377,0.123609514559866,1453,"301¡V350",-0.294119528239131,-771,-2784,-0.13267,"not outlier"
