"","University","qs_students","the_students","continent","diff","pdiff","outlier"
"126","Edith Cowan University",15524,18086,"oceania",-2562,-0.15245,"not outlier"
"127","Eindhoven University of Technology",10190,11326,"europe",-1136,-0.1056,"not outlier"
"128","Emory University",13409,13179,"north_america",230,0.0173,"not outlier"
"129","Eotvos Lorand University",28450,29639,"europe",-1189,-0.04094,"not outlier"
"130","Erasmus University Rotterdam",28694,28933,"europe",-239,-0.00829,"not outlier"
"131","Escuela Politecnica Nacional",7274,7207,"latin_america",67,0.00925,"not outlier"
"132","Ewha Womans University",17273,14876,"asia",2397,0.14912,"not outlier"
"133","Far Eastern Federal University",13247,15850,"europe",-2603,-0.17892,"not outlier"
"134","Feng Chia University",18509,19510,"asia",-1001,-0.05266,"not outlier"
"135","Financial University under the Government of the Russian Federation",20137,14402,"europe",5735,0.33209,"outlier & student qs > the"
"136","Flinders University",17138,16976,"oceania",162,0.0095,"not outlier"
"137","Florida International University",35143,34729,"north_america",414,0.01185,"not outlier"
"138","Florida State University",37825,39380,"north_america",-1555,-0.04028,"not outlier"
"139","Free University of Bozen-Bolzano",4194,4195,"europe",-1,-0.00024,"not outlier"
"140","Fu Jen Catholic University",18589,18375,"asia",214,0.01158,"not outlier"
"141","Fudan University",28454,33140,"asia",-4686,-0.15216,"not outlier"
"142","Gda<U+0144>sk University of Technology",12130,13778,"europe",-1648,-0.12722,"not outlier"
"143","George Mason University",29633,31652,"north_america",-2019,-0.06589,"not outlier"
"144","George Washington University",21363,23375,"north_america",-2012,-0.08995,"not outlier"
"145","Georgetown University",16318,16703,"north_america",-385,-0.02332,"not outlier"
"146","Georgia Institute of Technology",24422,27838,"north_america",-3416,-0.13073,"not outlier"
"147","Georgia State University",30127,32290,"north_america",-2163,-0.06931,"not outlier"
"148","German University in Cairo",12947,13081,"africa",-134,-0.0103,"not outlier"
"149","Ghent University",37833,38984,"europe",-1151,-0.02997,"not outlier"
"150","Gifu University",7280,7189,"asia",91,0.01258,"not outlier"
"151","Glasgow Caledonian University",15009,13509,"europe",1500,0.1052,"not outlier"
"152","Goldsmiths, University of London",9144,9325,"europe",-181,-0.0196,"not outlier"
"153","Graz University of Technology",6822,6386,"europe",436,0.06602,"not outlier"
"154","Griffith University",33072,35020,"oceania",-1948,-0.05722,"not outlier"
"155","Gunma University",6429,6288,"asia",141,0.02218,"not outlier"
"156","Hacettepe University",47541,49026,"asia",-1485,-0.03076,"not outlier"
"157","Hallym University",7880,8663,"asia",-783,-0.09466,"not outlier"
"158","Hanoi University of Science and Technology",33666,32222,"asia",1444,0.04383,"not outlier"
"159","Hanyang University",22662,20009,"asia",2653,0.12435,"not outlier"
"160","Harbin Institute of Technology",30139,30575,"asia",-436,-0.01436,"not outlier"
"161","Harper Adams University",2909,2219,"europe",690,0.26911,"outlier & student qs > the"
"162","Harvard University",23663,21574,"north_america",2089,0.09236,"not outlier"
"163","Hasselt University",5529,5528,"europe",1,0.00018,"not outlier"
"164","Helwan University",122967,122967,"africa",0,0,"not outlier"
"165","Heriot-Watt University",9883,9493,"europe",390,0.04026,"not outlier"
"166","Hiroshima University",15220,15048,"asia",172,0.01137,"not outlier"
"167","Hitotsubashi University",6303,6215,"asia",88,0.01406,"not outlier"
"168","Hokkaido University",17887,18085,"asia",-198,-0.01101,"not outlier"
"169","Hong Kong Baptist University",8440,7075,"asia",1365,0.17596,"not outlier"
"170","Howard University",8949,8453,"north_america",496,0.057,"not outlier"
"171","HSE University",42852,28901,"europe",13951,0.38886,"outlier & student qs > the"
"172","Huazhong University of Science and Technology",60253,56709,"asia",3544,0.0606,"not outlier"
"173","Hunan University",36502,40198,"asia",-3696,-0.09638,"not outlier"
"174","Illinois Institute of Technology",5875,5851,"north_america",24,0.00409,"not outlier"
"175","Immanuel Kant Baltic Federal University",7341,7306,"europe",35,0.00478,"not outlier"
"176","Imperial College London",18318,17717,"europe",601,0.03336,"not outlier"
